,tradeDate,secID,ticker,assetClass,exchangeCD,secFullName,currencyCD,tradePrice,tradeVal,tradeVol,buyerBD,sellerBD
103,2013-12-06,002594.XSHE,002594,E,XSHE,比亚迪,CNY,33.89,6778.0,200.0,海通证券股份有限公司深圳分公司海德三道证券营业部,海通证券股份有限公司丹阳丹金路证券营业部
104,2013-12-12,002594.XSHE,002594,E,XSHE,比亚迪,CNY,33.55,11742.5,350.0,海通证券股份有限公司深圳分公司海德三道证券营业部,海通证券股份有限公司丹阳丹金路证券营业部
105,2014-05-14,002594.XSHE,002594,E,XSHE,比亚迪,CNY,37.62,3762.0,100.0,海通证券股份有限公司深圳分公司海德三道证券营业部,海通证券股份有限公司丹阳丹金路证券营业部
106,2014-05-26,002594.XSHE,002594,E,XSHE,比亚迪,CNY,37.94,4992.9,131.6,海通证券股份有限公司深圳分公司海德三道证券营业部,海通证券股份有限公司丹阳丹金路证券营业部
107,2014-06-04,002594.XSHE,002594,E,XSHE,比亚迪,CNY,41.32,2995.7,72.5,宏源证券股份有限公司深圳福华一路证券营业部,宏源证券股份有限公司南通工农北路证券营业部
108,2014-06-05,002594.XSHE,002594,E,XSHE,比亚迪,CNY,40.22,5671.02,141.0,宏源证券股份有限公司深圳福华一路证券营业部,宏源证券股份有限公司南通工农北路证券营业部
109,2014-06-06,002594.XSHE,002594,E,XSHE,比亚迪,CNY,40.82,2000.18,49.0,海通证券股份有限公司深圳分公司海德三道证券营业部,海通证券股份有限公司丹阳丹金路证券营业部
110,2014-06-06,002594.XSHE,002594,E,XSHE,比亚迪,CNY,40.82,6980.22,171.0,宏源证券股份有限公司深圳福华一路证券营业部,宏源证券股份有限公司南通工农北路证券营业部
111,2014-06-10,002594.XSHE,002594,E,XSHE,比亚迪,CNY,41.13,3731.89,90.73,宏源证券股份有限公司深圳福华一路证券营业部,宏源证券股份有限公司南通工农北路证券营业部
112,2014-06-12,002594.XSHE,002594,E,XSHE,比亚迪,CNY,40.77,2038.5,50.0,海通证券股份有限公司深圳分公司海德三道证券营业部,海通证券股份有限公司丹阳丹金路证券营业部
113,2014-06-13,002594.XSHE,002594,E,XSHE,比亚迪,CNY,40.63,4063.0,100.0,海通证券股份有限公司深圳分公司海德三道证券营业部,海通证券股份有限公司丹阳丹金路证券营业部
114,2014-07-02,002594.XSHE,002594,E,XSHE,比亚迪,CNY,42.93,669.94,15.61,招商证券股份有限公司深圳笋岗路证券营业部,中国国际金融有限公司厦门莲岳路证券营业部
115,2014-07-07,002594.XSHE,002594,E,XSHE,比亚迪,CNY,43.46,4824.06,111.0,中信证券股份有限公司深圳福华一路证券营业部,中信证券股份有限公司南通工农路证券营业部
116,2014-07-08,002594.XSHE,002594,E,XSHE,比亚迪,CNY,42.98,4298.0,100.0,中信证券股份有限公司南通工农路证券营业部,中信证券股份有限公司深圳福华一路证券营业部
